fips,tot_po_yr,tot_po8,n_years_available,avg_customers_out,avg_customer_time_std
22029,145,11,3,97156,10
22031,187,18,3,412449,28
22033,152,9,3,1993885,9
22035,100,11,3,68851,26
22037,196,8,3,196008,21
22039,159,9,3,362130,22
22041,71,2,3,57479,6
22043,226,14,3,609708,65
22045,125,5,3,954700,26
22047,114,5,3,115070,8
22049,134,14,2,648936,81
22051,122,14,3,6156641,26
22053,131,16,3,736959,46
22055,56,2,3,1096683,8
22057,125,9,3,690553,14
22059,78,7,3,202592,30
22061,119,12,2,643160,26
22063,165,6,3,398666,6
22065,102,4,3,41334,8
22067,97,7,3,267549,20
22071,156,7,3,3865255,18
22073,106,12,2,3622590,45
22075,109,7,3,435729,36
22079,170,14,3,2667869,39
22081,6,0,3,5987,1
22083,104,7,3,101904,10
22085,256,21,3,751776,59
22087,89,7,3,581241,28
22089,125,6,3,431072,16
22091,210,6,3,106206,20
22093,72,2,3,77980,7
22095,107,5,3,176898,8
22097,145,6,3,899274,21
22099,133,6,3,440145,16
22101,95,5,3,329050,12
22103,129,5,3,1403570,11
22105,202,17,2,1146076,17
22107,104,12,3,116782,48
22111,248,22,2,849700,75
22113,90,5,2,1049426,35
22115,175,17,3,1091296,46
22117,101,3,3,161609,7
22119,144,16,2,375362,17
22121,84,4,3,106090,8
22125,200,7,3,150455,27
22127,141,10,3,316304,43
23003,110,4,3,265379,6
23007,22,3,3,12617,1
23009,135,6,3,593703,17
23015,4,1,3,11492,1
23019,143,6,3,1273683,14
23021,139,11,3,322141,31
23023,0,0,3,5115,0
23025,8,1,3,13484,0
23027,6,1,3,9176,0
23029,114,4,3,165960,8
24003,73,5,3,799706,3
24005,67,6,3,1455508,4
24510,116,7,3,929816,3
24009,67,4,3,182319,5
24011,67,1,3,42498,3
24013,84,6,3,223544,3
24015,99,3,3,272499,6
24019,66,1,3,44800,3
24023,98,6,3,214604,14
24025,65,6,3,600248,5
24027,59,5,3,454840,3
24029,75,2,3,55533,6
24031,72,2,3,1196138,3
24033,94,3,3,1214572,3
24035,72,2,3,67677,3
24039,64,2,3,39559,4
24041,42,1,3,44523,2
24045,68,1,3,122311,3
24047,107,2,3,118393,4
25001,123,4,3,3564992,30
25003,71,4,2,451296,7
25005,69,6,3,1517127,6
25007,46,1,3,105385,12
25009,78,6,3,2378712,7
25011,73,6,2,253113,7
25013,46,3,2,1317232,6
25015,58,4,2,427346,6
25017,52,4,3,3344773,4
25021,74,6,3,1732844,5
25023,72,6,3,3610684,16
25025,90,3,3,731760,2
25027,99,5,3,2376929,6
26001,133,15,3,200888,32
26003,67,8,2,49068,12
26007,20,3,3,23237,1
26009,88,7,3,134912,11
26011,123,12,3,237313,29
26013,38,1,2,12773,3
26017,50,5,3,200820,4
26019,16,1,3,5493,1
26023,90,9,3,309931,15
26025,90,8,3,977410,15
26027,61,4,3,45204,2
26029,75,5,3,108088,7
26031,89,6,3,211613,15
26033,93,6,3,449526,25
26035,132,10,2,326442,22
26037,75,5,3,153956,4
26039,73,3,3,68615,9
26043,42,2,3,52591,4
26045,71,6,3,345011,6
26047,54,4,3,100456,5
26049,94,12,3,1066528,5
26051,125,10,3,261242,19
26053,58,2,3,44421,5
26055,23,1,3,22787,0
26057,78,8,3,126069,7
26059,102,10,3,168200,8
26061,78,2,2,62874,4
26063,99,12,2,447854,25
26065,80,4,2,430864,3
26067,121,11,3,606174,21
26069,127,14,3,296114,20
26071,52,1,1,12369,2
26073,82,8,3,155060,5
26079,2,0,2,369,0
26081,108,11,3,4106601,13
26083,1,0,3,122,0
26085,93,6,3,180990,32
26087,60,8,3,530203,13
26089,26,0,3,6363,1
26091,8,0,2,14133,0
26093,82,8,2,1086478,12
26095,52,6,3,48569,17
26097,124,11,3,162113,24
26101,17,1,3,4579,0
26105,79,5,3,191161,12
26107,113,10,3,233883,12
26111,117,14,3,520409,12
26113,108,5,2,139311,18
26115,78,11,3,424932,6
26117,131,13,3,624022,21
26119,59,6,3,71535,13
26121,99,10,3,763489,9
26123,113,12,3,280056,12
26127,82,7,3,100837,8
26129,127,14,3,317539,27
26131,30,1,3,11905,3
26133,95,8,3,192793,17
26135,87,9,3,101215,22
26137,80,5,3,77908,6
26139,79,10,3,757365,6
26141,47,3,3,44316,6
26143,124,8,1,574653,42
26145,72,8,2,560052,6
26151,64,8,3,410077,19
26153,50,3,2,25695,6
26155,83,10,2,205132,6
26157,80,10,2,483202,18
27001,121,5,3,96412,10
27003,14,0,1,58278,0
27009,42,1,3,35080,2
27017,35,2,3,34712,2
27019,56,2,2,79284,2
27025,59,2,3,41886,2
27037,36,1,1,199455,1
27039,44,1,3,35991,4
27045,1,0,3,425,0
27047,46,1,3,77821,5
27049,39,3,3,75183,3
27053,86,5,3,1261661,2
27061,48,1,2,43991,2
27065,35,1,3,9836,1
27079,58,2,3,61781,5
27081,0,0,2,62,0
27095,45,1,3,30144,2
27097,26,1,3,23622,1
27099,33,1,3,31833,2
27101,73,3,3,34058,7
